sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,value,HKMetadataKeyAudioExposureLevel
HKCategoryTypeIdentifierAudioExposureEvent,Teja’s Apple Watch,1,"Watch6,15","<<HKDevice: 0x1120f0b40>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-16 19:57:33 +0000,2025-09-16 20:00:28 +0000,momentaryLimit,90.8422 dBASPL
HKCategoryTypeIdentifierAudioExposureEvent,Teja’s Apple Watch,1,"Watch6,15","<<HKDevice: 0x1120f0b40>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-17 02:53:48 +0000,2025-09-17 02:56:28 +0000,momentaryLimit,92.7077 dBASPL
HKCategoryTypeIdentifierAudioExposureEvent,Teja’s Apple Watch,1,"Watch6,15","<<HKDevice: 0x1120f0b40>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-17 03:27:18 +0000,2025-09-17 03:29:58 +0000,momentaryLimit,92.3768 dBASPL
HKCategoryTypeIdentifierAudioExposureEvent,Teja’s Apple Watch,1,"Watch6,15","<<HKDevice: 0x1120f0b40>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-17 03:58:33 +0000,2025-09-17 04:01:13 +0000,momentaryLimit,106.042 dBASPL
HKCategoryTypeIdentifierAudioExposureEvent,Teja’s Apple Watch,1,"Watch6,15","<<HKDevice: 0x1120f0b40>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-20 02:03:05 +0000,2025-09-20 02:05:55 +0000,momentaryLimit,91.7897 dBASPL
HKCategoryTypeIdentifierAudioExposureEvent,Teja’s Apple Watch,1,"Watch6,15","<<HKDevice: 0x1120f0b40>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-20 02:19:45 +0000,2025-09-20 02:22:25 +0000,momentaryLimit,91.3557 dBASPL
HKCategoryTypeIdentifierAudioExposureEvent,Teja’s Apple Watch,1,"Watch6,15","<<HKDevice: 0x1120f0b40>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-20 03:49:35 +0000,2025-09-20 03:52:25 +0000,momentaryLimit,90.0333 dBASPL
HKCategoryTypeIdentifierAudioExposureEvent,Teja’s Apple Watch,1,"Watch6,15","<<HKDevice: 0x1120f0b40>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-20 04:31:40 +0000,2025-09-20 04:34:25 +0000,momentaryLimit,95.962 dBASPL
HKCategoryTypeIdentifierAudioExposureEvent,Teja’s Apple Watch,1,"Watch6,15","<<HKDevice: 0x1120f0b40>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-20 05:03:10 +0000,2025-09-20 05:05:50 +0000,momentaryLimit,94.2731 dBASPL
HKCategoryTypeIdentifierAudioExposureEvent,Teja’s Apple Watch,1,"Watch6,15","<<HKDevice: 0x1120f0b40>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-20 05:27:15 +0000,2025-09-20 05:30:05 +0000,momentaryLimit,92.0545 dBASPL
HKCategoryTypeIdentifierAudioExposureEvent,Teja’s Apple Watch,1,"Watch6,15","<<HKDevice: 0x1120f0b40>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-20 23:30:03 +0000,2025-09-20 23:32:53 +0000,momentaryLimit,92.9382 dBASPL
HKCategoryTypeIdentifierAudioExposureEvent,Teja’s Apple Watch,1,"Watch6,15","<<HKDevice: 0x1120f0b40>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-21 00:01:33 +0000,2025-09-21 00:04:23 +0000,momentaryLimit,92.1345 dBASPL
HKCategoryTypeIdentifierAudioExposureEvent,Teja’s Apple Watch,1,"Watch6,15","<<HKDevice: 0x1120f0b40>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-21 01:31:28 +0000,2025-09-21 01:34:23 +0000,momentaryLimit,90.5873 dBASPL
HKCategoryTypeIdentifierAudioExposureEvent,Teja’s Apple Watch,1,"Watch6,15","<<HKDevice: 0x1120f0ba0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:26.0, creation date:2025-09-27 12:32:14 +0000>",2025-10-06 09:46:08 +0000,2025-10-06 09:48:57 +0000,momentaryLimit,90.2085 dBASPL
