sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,unit,value
HKQuantityTypeIdentifierAppleExerciseTime,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0d80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-09 20:46:00 +0000,2025-09-09 20:47:00 +0000,min,1.0
HKQuantityTypeIdentifierAppleExerciseTime,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0d80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-09 20:47:00 +0000,2025-09-09 20:48:00 +0000,min,1.0
HKQuantityTypeIdentifierAppleExerciseTime,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0d80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-09 23:05:00 +0000,2025-09-09 23:06:00 +0000,min,1.0
HKQuantityTypeIdentifierAppleExerciseTime,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0d80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-09 23:06:00 +0000,2025-09-09 23:07:00 +0000,min,1.0
HKQuantityTypeIdentifierAppleExerciseTime,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0d80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-09 23:07:00 +0000,2025-09-09 23:08:00 +0000,min,1.0
HKQuantityTypeIdentifierAppleExerciseTime,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0d80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-09 23:08:00 +0000,2025-09-09 23:09:00 +0000,min,1.0
HKQuantityTypeIdentifierAppleExerciseTime,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0d80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-09 23:10:00 +0000,2025-09-09 23:11:00 +0000,min,1.0
HKQuantityTypeIdentifierAppleExerciseTime,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0d80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-09 23:11:00 +0000,2025-09-09 23:12:00 +0000,min,1.0
HKQuantityTypeIdentifierAppleExerciseTime,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0d80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-10 21:33:00 +0000,2025-09-10 21:34:00 +0000,min,1.0
HKQuantityTypeIdentifierAppleExerciseTime,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0d80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-10 21:34:00 +0000,2025-09-10 21:35:00 +0000,min,1.0
HKQuantityTypeIdentifierAppleExerciseTime,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0d80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-11 01:51:00 +0000,2025-09-11 01:52:00 +0000,min,1.0
