sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,unit,value
HKQuantityTypeIdentifierFlightsClimbed,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f09c0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-09 20:47:05 +0000,2025-09-09 20:47:25 +0000,count,2.0
HKQuantityTypeIdentifierFlightsClimbed,Teja’s iPhone,18.6.2,"iPhone15,3","<<HKDevice: 0x1120f0d20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone15,3, software:18.6.2, creation date:2025-08-23 06:19:24 +0000>",2025-09-09 20:47:06 +0000,2025-09-09 20:47:26 +0000,count,2.0
HKQuantityTypeIdentifierFlightsClimbed,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f09c0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-09 23:06:11 +0000,2025-09-09 23:11:59 +0000,count,6.0
HKQuantityTypeIdentifierFlightsClimbed,Teja’s iPhone,18.6.2,"iPhone15,3","<<HKDevice: 0x1120f0d20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone15,3, software:18.6.2, creation date:2025-08-23 06:19:24 +0000>",2025-09-09 23:06:14 +0000,2025-09-09 23:11:59 +0000,count,6.0
HKQuantityTypeIdentifierFlightsClimbed,Teja’s iPhone,18.6.2,"iPhone15,3","<<HKDevice: 0x1120f0d20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone15,3, software:18.6.2, creation date:2025-08-23 06:19:24 +0000>",2025-09-10 21:34:36 +0000,2025-09-10 21:34:59 +0000,count,2.0
HKQuantityTypeIdentifierFlightsClimbed,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f09c0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-10 21:34:37 +0000,2025-09-10 21:35:00 +0000,count,2.0
HKQuantityTypeIdentifierFlightsClimbed,Teja’s iPhone,18.6.2,"iPhone15,3","<<HKDevice: 0x1120f0d20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone15,3, software:18.6.2, creation date:2025-08-23 06:19:24 +0000>",2025-09-11 01:52:11 +0000,2025-09-11 01:52:32 +0000,count,2.0
HKQuantityTypeIdentifierFlightsClimbed,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f09c0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-11 01:52:12 +0000,2025-09-11 01:52:32 +0000,count,2.0
HKQuantityTypeIdentifierFlightsClimbed,Teja’s iPhone,18.6.2,"iPhone15,3","<<HKDevice: 0x1120f0d20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone15,3, software:18.6.2, creation date:2025-08-23 06:19:24 +0000>",2025-09-11 02:28:41 +0000,2025-09-11 02:29:01 +0000,count,2.0
HKQuantityTypeIdentifierFlightsClimbed,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f09c0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-11 02:28:41 +0000,2025-09-11 02:29:02 +0000,count,2.0
HKQuantityTypeIdentifierFlightsClimbed,Teja’s iPhone,18.6.2,"iPhone15,3","<<HKDevice: 0x1120f0d20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone15,3, software:18.6.2, creation date:2025-08-23 06:19:24 +0000>",2025-09-11 04:02:56 +0000,2025-09-11 04:03:16 +0000,count,2.0
HKQuantityTypeIdentifierFlightsClimbed,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f09c0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-11 04:02:56 +0000,2025-09-11 04:03:17 +0000,count,2.0
HKQuantityTypeIdentifierFlightsClimbed,Teja’s iPhone,18.6.2,"iPhone15,3","<<HKDevice: 0x1120f0d20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone15,3, software:18.6.2, creation date:2025-08-23 06:19:24 +0000>",2025-09-11 20:43:49 +0000,2025-09-11 20:44:07 +0000,count,2.0
HKQuantityTypeIdentifierFlightsClimbed,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f09c0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-11 20:43:49 +0000,2025-09-11 20:44:07 +0000,count,2.0
HKQuantityTypeIdentifierFlightsClimbed,Teja’s iPhone,18.6.2,"iPhone15,3","<<HKDevice: 0x1120f0d20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone15,3, software:18.6.2, creation date:2025-08-23 06:19:24 +0000>",2025-09-12 01:05:49 +0000,2025-09-12 01:05:51 +0000,count,1.0
HKQuantityTypeIdentifierFlightsClimbed,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f09c0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-12 01:05:50 +0000,2025-09-12 01:05:52 +0000,count,1.0
HKQuantityTypeIdentifierFlightsClimbed,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f09c0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-12 04:08:44 +0000,2025-09-12 04:09:12 +0000,count,2.0
HKQuantityTypeIdentifierFlightsClimbed,Teja’s iPhone,18.6.2,"iPhone15,3","<<HKDevice: 0x1120f0d20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone15,3, software:18.6.2, creation date:2025-08-23 06:19:24 +0000>",2025-09-12 04:09:08 +0000,2025-09-12 04:09:11 +0000,count,1.0
HKQuantityTypeIdentifierFlightsClimbed,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f09c0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-12 05:10:02 +0000,2025-09-12 05:10:23 +0000,count,2.0
HKQuantityTypeIdentifierFlightsClimbed,Teja’s iPhone,18.6.2,"iPhone15,3","<<HKDevice: 0x1120f0d20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone15,3, software:18.6.2, creation date:2025-08-23 06:19:24 +0000>",2025-09-12 05:10:02 +0000,2025-09-12 05:10:25 +0000,count,2.0
HKQuantityTypeIdentifierFlightsClimbed,Teja’s iPhone,18.6.2,"iPhone15,3","<<HKDevice: 0x1120f0d20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone15,3, software:18.6.2, creation date:2025-08-23 06:19:24 +0000>",2025-09-12 19:53:48 +0000,2025-09-12 19:54:13 +0000,count,2.0
HKQuantityTypeIdentifierFlightsClimbed,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f09c0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-12 19:53:50 +0000,2025-09-12 19:54:10 +0000,count,2.0
