sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,unit,value,HKAlgorithmVersion
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-09 09:40:14 +0000,2025-09-09 09:41:13 +0000,ms,60.13112034731976,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-09 12:22:37 +0000,2025-09-09 12:23:35 +0000,ms,73.13529587555242,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-09 18:17:44 +0000,2025-09-09 18:17:56 +0000,ms,71.35655840515676,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-09 20:57:50 +0000,2025-09-09 20:58:50 +0000,ms,50.12930038869264,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-09 21:48:23 +0000,2025-09-09 21:49:22 +0000,ms,36.96454617029365,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-10 01:48:37 +0000,2025-09-10 01:49:36 +0000,ms,91.48426788095237,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-10 01:52:43 +0000,2025-09-10 01:53:42 +0000,ms,91.47973077737463,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-10 03:43:57 +0000,2025-09-10 03:44:57 +0000,ms,49.43956130354674,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-10 05:40:13 +0000,2025-09-10 05:41:11 +0000,ms,61.399688668262876,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-10 07:40:14 +0000,2025-09-10 07:41:13 +0000,ms,53.91837859318179,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-10 09:40:15 +0000,2025-09-10 09:41:15 +0000,ms,76.14968827573948,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-10 20:24:58 +0000,2025-09-10 20:25:49 +0000,ms,37.35081698266406,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-10 22:48:22 +0000,2025-09-10 22:49:22 +0000,ms,39.05949814251039,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-10 23:57:37 +0000,2025-09-10 23:58:36 +0000,ms,37.46242163119062,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-11 01:40:13 +0000,2025-09-11 01:41:12 +0000,ms,91.58220650699515,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-11 04:10:39 +0000,2025-09-11 04:11:38 +0000,ms,42.81217451431126,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-11 05:40:17 +0000,2025-09-11 05:41:17 +0000,ms,30.163859051784105,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-11 07:40:17 +0000,2025-09-11 07:41:16 +0000,ms,32.56283107375712,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-11 09:40:12 +0000,2025-09-11 09:41:11 +0000,ms,69.76841793724867,2
