sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,unit,value,HKMetadataKeyBarometricPressure
HKQuantityTypeIdentifierOxygenSaturation,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0ba0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-09 08:31:33 +0000,2025-09-09 08:31:33 +0000,%,0.99,99.5501 kPa
HKQuantityTypeIdentifierOxygenSaturation,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0ba0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-09 09:02:07 +0000,2025-09-09 09:02:07 +0000,%,0.98,99.5554 kPa
HKQuantityTypeIdentifierOxygenSaturation,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0ba0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-09 10:02:08 +0000,2025-09-09 10:02:08 +0000,%,0.96,99.6032 kPa
HKQuantityTypeIdentifierOxygenSaturation,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0ba0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-09 21:08:07 +0000,2025-09-09 21:08:07 +0000,%,0.97,99.4424 kPa
HKQuantityTypeIdentifierOxygenSaturation,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0ba0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-10 01:53:52 +0000,2025-09-10 01:53:52 +0000,%,0.95,99.5351 kPa
HKQuantityTypeIdentifierOxygenSaturation,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0ba0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-10 02:55:09 +0000,2025-09-10 02:55:09 +0000,%,0.98,99.5868 kPa
HKQuantityTypeIdentifierOxygenSaturation,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0ba0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-10 05:04:55 +0000,2025-09-10 05:04:55 +0000,%,0.99,99.6139 kPa
HKQuantityTypeIdentifierOxygenSaturation,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0ba0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-10 05:34:56 +0000,2025-09-10 05:34:56 +0000,%,0.96,99.6191 kPa
HKQuantityTypeIdentifierOxygenSaturation,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0ba0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-10 07:18:38 +0000,2025-09-10 07:18:38 +0000,%,0.95,99.6006 kPa
HKQuantityTypeIdentifierOxygenSaturation,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0ba0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-10 07:48:38 +0000,2025-09-10 07:48:38 +0000,%,0.97,99.5915 kPa
