sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,unit,value
HKQuantityTypeIdentifierRestingHeartRate,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-09 05:01:55 +0000,2025-09-10 03:17:16 +0000,count/min,53.0
HKQuantityTypeIdentifierRestingHeartRate,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-10 05:00:55 +0000,2025-09-11 03:03:14 +0000,count/min,58.0
HKQuantityTypeIdentifierRestingHeartRate,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-11 05:01:19 +0000,2025-09-12 04:55:36 +0000,count/min,60.0
HKQuantityTypeIdentifierRestingHeartRate,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-12 05:03:55 +0000,2025-09-13 04:06:59 +0000,count/min,54.0
HKQuantityTypeIdentifierRestingHeartRate,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-13 05:02:14 +0000,2025-09-14 03:49:09 +0000,count/min,54.0
HKQuantityTypeIdentifierRestingHeartRate,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-14 05:01:12 +0000,2025-09-15 03:09:32 +0000,count/min,55.0
HKQuantityTypeIdentifierRestingHeartRate,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-15 05:00:29 +0000,2025-09-16 02:51:00 +0000,count/min,51.0
HKQuantityTypeIdentifierRestingHeartRate,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-16 05:03:26 +0000,2025-09-16 21:01:02 +0000,count/min,56.0
HKQuantityTypeIdentifierRestingHeartRate,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-17 05:03:40 +0000,2025-09-18 01:31:11 +0000,count/min,60.0
HKQuantityTypeIdentifierRestingHeartRate,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-18 05:03:12 +0000,2025-09-18 19:45:16 +0000,count/min,58.0
HKQuantityTypeIdentifierRestingHeartRate,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-19 05:03:48 +0000,2025-09-20 01:30:34 +0000,count/min,61.0
HKQuantityTypeIdentifierRestingHeartRate,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-20 05:00:36 +0000,2025-09-21 01:46:44 +0000,count/min,58.0
HKQuantityTypeIdentifierRestingHeartRate,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-21 04:02:39 +0000,2025-09-22 01:20:29 +0000,count/min,57.0
HKQuantityTypeIdentifierRestingHeartRate,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-22 05:02:45 +0000,2025-09-23 03:45:44 +0000,count/min,59.0
HKQuantityTypeIdentifierRestingHeartRate,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-23 05:02:07 +0000,2025-09-24 02:40:45 +0000,count/min,63.0
HKQuantityTypeIdentifierRestingHeartRate,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-24 05:01:23 +0000,2025-09-24 20:16:33 +0000,count/min,60.0
HKQuantityTypeIdentifierRestingHeartRate,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-25 05:04:14 +0000,2025-09-25 19:46:25 +0000,count/min,62.00000000000001
HKQuantityTypeIdentifierRestingHeartRate,Teja’s Apple Watch,26.0,"Watch6,15",,2025-09-26 05:01:23 +0000,2025-09-27 04:56:14 +0000,count/min,58.0
HKQuantityTypeIdentifierRestingHeartRate,Teja’s Apple Watch,26.0,"Watch6,15",,2025-09-27 05:00:52 +0000,2025-09-28 04:24:15 +0000,count/min,57.0
HKQuantityTypeIdentifierRestingHeartRate,Teja’s Apple Watch,26.0,"Watch6,15",,2025-09-28 05:06:26 +0000,2025-09-29 03:48:12 +0000,count/min,58.0
HKQuantityTypeIdentifierRestingHeartRate,Teja’s Apple Watch,26.0,"Watch6,15",,2025-09-29 05:02:51 +0000,2025-09-30 00:48:25 +0000,count/min,56.0
HKQuantityTypeIdentifierRestingHeartRate,Teja’s Apple Watch,26.0,"Watch6,15",,2025-09-30 05:05:25 +0000,2025-09-30 15:00:22 +0000,count/min,58.0
HKQuantityTypeIdentifierRestingHeartRate,Teja’s Apple Watch,26.0,"Watch6,15",,2025-10-01 05:01:54 +0000,2025-10-02 04:58:46 +0000,count/min,59.0
HKQuantityTypeIdentifierRestingHeartRate,Teja’s Apple Watch,26.0,"Watch6,15",,2025-10-02 05:06:52 +0000,2025-10-03 02:07:00 +0000,count/min,59.0
HKQuantityTypeIdentifierRestingHeartRate,Teja’s Apple Watch,26.0,"Watch6,15",,2025-10-03 06:02:50 +0000,2025-10-04 04:54:40 +0000,count/min,56.0
HKQuantityTypeIdentifierRestingHeartRate,Teja’s Apple Watch,26.0,"Watch6,15",,2025-10-04 05:02:31 +0000,2025-10-04 17:02:09 +0000,count/min,63.0
HKQuantityTypeIdentifierRestingHeartRate,Teja’s Apple Watch,26.0,"Watch6,15",,2025-10-05 05:02:50 +0000,2025-10-06 03:27:23 +0000,count/min,57.0
HKQuantityTypeIdentifierRestingHeartRate,Teja’s Apple Watch,26.0,"Watch6,15",,2025-10-06 05:02:33 +0000,2025-10-06 21:52:47 +0000,count/min,54.0
HKQuantityTypeIdentifierRestingHeartRate,Teja’s Apple Watch,26.0,"Watch6,15",,2025-10-07 05:43:05 +0000,2025-10-08 04:59:25 +0000,count/min,60.0
HKQuantityTypeIdentifierRestingHeartRate,Teja’s Apple Watch,26.0,"Watch6,15",,2025-10-08 05:05:36 +0000,2025-10-09 00:11:42 +0000,count/min,58.0
HKQuantityTypeIdentifierRestingHeartRate,Teja’s Apple Watch,26.0,"Watch6,15",,2025-10-09 05:01:09 +0000,2025-10-09 06:01:32 +0000,count/min,63.0
