sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,value,HKTimeZone
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-09 07:43:23 +0000,2025-09-09 08:26:23 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-09 08:26:23 +0000,2025-09-09 08:30:23 +0000,asleepDeep,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-09 08:30:23 +0000,2025-09-09 08:31:23 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-09 08:31:23 +0000,2025-09-09 08:31:53 +0000,awake,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-09 08:31:53 +0000,2025-09-09 08:48:23 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-09 08:48:23 +0000,2025-09-09 08:58:23 +0000,asleepREM,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-09 08:58:23 +0000,2025-09-09 09:48:53 +0000,asleepCore,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-09 09:48:53 +0000,2025-09-09 10:13:23 +0000,asleepREM,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-09 10:13:23 +0000,2025-09-09 10:15:23 +0000,awake,America/Chicago
HKCategoryTypeIdentifierSleepAnalysis,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-09 10:15:23 +0000,2025-09-09 10:17:53 +0000,asleepREM,America/Chicago
