sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,unit,value,HKAlgorithmVersion
HKQuantityTypeIdentifierAppleSleepingWristTemperature,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0000>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-09 04:05:10 +0000,2025-09-09 10:32:53 +0000,degF,96.16972122192377,1
HKQuantityTypeIdentifierAppleSleepingWristTemperature,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0000>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-10 04:03:26 +0000,2025-09-10 10:17:00 +0000,degF,96.82569427490228,1
HKQuantityTypeIdentifierAppleSleepingWristTemperature,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0000>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-11 04:09:09 +0000,2025-09-11 10:21:00 +0000,degF,96.70591583251947,1
HKQuantityTypeIdentifierAppleSleepingWristTemperature,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0000>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-12 05:15:26 +0000,2025-09-12 10:26:29 +0000,degF,96.22808609008783,1
HKQuantityTypeIdentifierAppleSleepingWristTemperature,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0000>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-13 06:15:07 +0000,2025-09-13 13:43:42 +0000,degF,97.13187637329095,1
HKQuantityTypeIdentifierAppleSleepingWristTemperature,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0000>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-14 05:12:19 +0000,2025-09-14 13:09:57 +0000,degF,96.04913253784173,1
HKQuantityTypeIdentifierAppleSleepingWristTemperature,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0000>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-15 05:48:57 +0000,2025-09-15 13:51:25 +0000,degF,96.30974884033196,1
HKQuantityTypeIdentifierAppleSleepingWristTemperature,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0000>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-16 05:14:25 +0000,2025-09-16 10:30:27 +0000,degF,96.75507965087884,1
HKQuantityTypeIdentifierAppleSleepingWristTemperature,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0000>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-17 05:09:31 +0000,2025-09-17 10:16:38 +0000,degF,97.14519729614251,1
HKQuantityTypeIdentifierAppleSleepingWristTemperature,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0000>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-18 05:00:42 +0000,2025-09-18 10:23:35 +0000,degF,96.49806137084954,1
HKQuantityTypeIdentifierAppleSleepingWristTemperature,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0000>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-19 05:02:11 +0000,2025-09-19 10:23:47 +0000,degF,96.32123641967766,1
HKQuantityTypeIdentifierAppleSleepingWristTemperature,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0000>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-21 06:42:44 +0000,2025-09-21 13:19:23 +0000,degF,97.127838897705,1
HKQuantityTypeIdentifierAppleSleepingWristTemperature,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0000>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-22 05:05:43 +0000,2025-09-22 14:59:26 +0000,degF,96.71228103637688,1
HKQuantityTypeIdentifierAppleSleepingWristTemperature,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0000>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-23 04:08:53 +0000,2025-09-23 10:19:43 +0000,degF,97.09683685302727,1
HKQuantityTypeIdentifierAppleSleepingWristTemperature,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0000>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-24 04:01:21 +0000,2025-09-24 10:29:57 +0000,degF,96.26039962768547,1
HKQuantityTypeIdentifierAppleSleepingWristTemperature,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0000>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-25 05:24:05 +0000,2025-09-25 10:13:35 +0000,degF,96.26119613647454,1
HKQuantityTypeIdentifierAppleSleepingWristTemperature,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0000>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-26 04:21:05 +0000,2025-09-26 10:22:10 +0000,degF,96.67700119018548,1
HKQuantityTypeIdentifierAppleSleepingWristTemperature,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0000>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-27 05:04:56 +0000,2025-09-27 11:54:48 +0000,degF,96.45347747802728,1
HKQuantityTypeIdentifierAppleSleepingWristTemperature,Teja’s Apple Watch,26.0,"Watch6,15","<<HKDevice: 0x1120f2820>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:26.0, creation date:2025-09-27 12:32:14 +0000>",2025-09-28 05:34:30 +0000,2025-09-28 13:56:17 +0000,degF,96.54828948974603,2
HKQuantityTypeIdentifierAppleSleepingWristTemperature,Teja’s Apple Watch,26.0,"Watch6,15","<<HKDevice: 0x1120f2820>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:26.0, creation date:2025-09-27 12:32:14 +0000>",2025-09-29 04:38:13 +0000,2025-09-29 10:24:42 +0000,degF,96.31475448608391,2
HKQuantityTypeIdentifierAppleSleepingWristTemperature,Teja’s Apple Watch,26.0,"Watch6,15","<<HKDevice: 0x1120f2820>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:26.0, creation date:2025-09-27 12:32:14 +0000>",2025-09-30 03:56:00 +0000,2025-09-30 10:17:46 +0000,degF,96.99191741943352,2
HKQuantityTypeIdentifierAppleSleepingWristTemperature,Teja’s Apple Watch,26.0,"Watch6,15","<<HKDevice: 0x1120f2820>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:26.0, creation date:2025-09-27 12:32:14 +0000>",2025-10-01 04:41:55 +0000,2025-10-01 10:16:28 +0000,degF,96.28081359863275,2
HKQuantityTypeIdentifierAppleSleepingWristTemperature,Teja’s Apple Watch,26.0,"Watch6,15","<<HKDevice: 0x1120f2820>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:26.0, creation date:2025-09-27 12:32:14 +0000>",2025-10-03 06:09:14 +0000,2025-10-03 14:57:18 +0000,degF,97.43763275146478,2
HKQuantityTypeIdentifierAppleSleepingWristTemperature,Teja’s Apple Watch,26.0,"Watch6,15","<<HKDevice: 0x1120f2820>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:26.0, creation date:2025-09-27 12:32:14 +0000>",2025-10-04 05:48:06 +0000,2025-10-04 14:23:46 +0000,degF,97.53148345947258,2
HKQuantityTypeIdentifierAppleSleepingWristTemperature,Teja’s Apple Watch,26.0,"Watch6,15","<<HKDevice: 0x1120f2820>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:26.0, creation date:2025-09-27 12:32:14 +0000>",2025-10-05 04:44:59 +0000,2025-10-05 12:43:05 +0000,degF,96.8388366699218,2
HKQuantityTypeIdentifierAppleSleepingWristTemperature,Teja’s Apple Watch,26.0,"Watch6,15","<<HKDevice: 0x1120f2820>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:26.0, creation date:2025-09-27 12:32:14 +0000>",2025-10-07 05:46:55 +0000,2025-10-07 10:55:28 +0000,degF,96.20778884887689,2
HKQuantityTypeIdentifierAppleSleepingWristTemperature,Teja’s Apple Watch,26.0,"Watch6,15","<<HKDevice: 0x1120f2820>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:26.0, creation date:2025-09-27 12:32:14 +0000>",2025-10-08 04:52:43 +0000,2025-10-08 10:29:07 +0000,degF,96.3673377990722,2
