sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,unit,value
HKQuantityTypeIdentifierStepCount,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0f60>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-09 10:28:02 +0000,2025-09-09 10:37:32 +0000,count,146.0
HKQuantityTypeIdentifierStepCount,Teja’s iPhone,18.6.2,"iPhone15,3","<<HKDevice: 0x1120f38a0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone15,3, software:18.6.2, creation date:2025-08-23 06:19:24 +0000>",2025-09-09 10:34:03 +0000,2025-09-09 10:38:24 +0000,count,183.0
HKQuantityTypeIdentifierStepCount,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0f60>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-09 10:37:32 +0000,2025-09-09 10:38:26 +0000,count,93.0
HKQuantityTypeIdentifierStepCount,Teja’s iPhone,18.6.2,"iPhone15,3","<<HKDevice: 0x1120f38a0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone15,3, software:18.6.2, creation date:2025-08-23 06:19:24 +0000>",2025-09-09 10:57:05 +0000,2025-09-09 11:04:37 +0000,count,107.0
HKQuantityTypeIdentifierStepCount,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0f60>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-09 10:57:50 +0000,2025-09-09 11:04:29 +0000,count,75.0
HKQuantityTypeIdentifierStepCount,Teja’s iPhone,18.6.2,"iPhone15,3","<<HKDevice: 0x1120f38a0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone15,3, software:18.6.2, creation date:2025-08-23 06:19:24 +0000>",2025-09-09 11:28:54 +0000,2025-09-09 11:32:08 +0000,count,26.0
HKQuantityTypeIdentifierStepCount,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0f60>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-09 11:32:01 +0000,2025-09-09 11:34:44 +0000,count,21.0
HKQuantityTypeIdentifierStepCount,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0f60>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-09 11:42:20 +0000,2025-09-09 11:48:51 +0000,count,62.0
HKQuantityTypeIdentifierStepCount,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0f60>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-09 11:52:21 +0000,2025-09-09 11:56:42 +0000,count,13.0
HKQuantityTypeIdentifierStepCount,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0f60>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-09 12:01:48 +0000,2025-09-09 12:07:03 +0000,count,22.0
