sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,unit,value
HKQuantityTypeIdentifierWalkingHeartRateAverage,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-09 05:01:55 +0000,2025-09-10 03:59:53 +0000,count/min,84.0
HKQuantityTypeIdentifierWalkingHeartRateAverage,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-10 05:00:55 +0000,2025-09-11 04:03:36 +0000,count/min,95.50000000000001
HKQuantityTypeIdentifierWalkingHeartRateAverage,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-11 05:01:19 +0000,2025-09-12 04:09:04 +0000,count/min,99.5
HKQuantityTypeIdentifierWalkingHeartRateAverage,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-12 05:03:55 +0000,2025-09-13 01:33:09 +0000,count/min,107.49999999999999
HKQuantityTypeIdentifierWalkingHeartRateAverage,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-13 05:02:14 +0000,2025-09-14 03:06:36 +0000,count/min,76.5
HKQuantityTypeIdentifierWalkingHeartRateAverage,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-14 05:01:12 +0000,2025-09-15 03:41:00 +0000,count/min,84.5
HKQuantityTypeIdentifierWalkingHeartRateAverage,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-15 05:00:29 +0000,2025-09-16 02:21:34 +0000,count/min,72.0
HKQuantityTypeIdentifierWalkingHeartRateAverage,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-16 05:03:26 +0000,2025-09-17 02:16:29 +0000,count/min,95.0
HKQuantityTypeIdentifierWalkingHeartRateAverage,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-17 05:03:40 +0000,2025-09-17 18:32:12 +0000,count/min,91.0
HKQuantityTypeIdentifierWalkingHeartRateAverage,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-18 05:03:12 +0000,2025-09-18 19:09:30 +0000,count/min,74.0
HKQuantityTypeIdentifierWalkingHeartRateAverage,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-19 05:03:48 +0000,2025-09-20 03:57:21 +0000,count/min,92.5
HKQuantityTypeIdentifierWalkingHeartRateAverage,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-20 05:00:36 +0000,2025-09-21 03:26:32 +0000,count/min,85.0
HKQuantityTypeIdentifierWalkingHeartRateAverage,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-21 04:02:39 +0000,2025-09-21 06:03:23 +0000,count/min,98.0
HKQuantityTypeIdentifierWalkingHeartRateAverage,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-22 05:02:45 +0000,2025-09-23 03:25:24 +0000,count/min,82.5
HKQuantityTypeIdentifierWalkingHeartRateAverage,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-23 05:02:07 +0000,2025-09-24 03:07:50 +0000,count/min,101.0
HKQuantityTypeIdentifierWalkingHeartRateAverage,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-24 05:01:23 +0000,2025-09-24 16:50:39 +0000,count/min,74.0
HKQuantityTypeIdentifierWalkingHeartRateAverage,Teja’s Apple Watch,11.6,"Watch6,15",,2025-09-25 05:04:14 +0000,2025-09-26 03:46:22 +0000,count/min,77.5
HKQuantityTypeIdentifierWalkingHeartRateAverage,Teja’s Apple Watch,26.0,"Watch6,15",,2025-09-26 05:01:23 +0000,2025-09-27 04:56:14 +0000,count/min,86.0
HKQuantityTypeIdentifierWalkingHeartRateAverage,Teja’s Apple Watch,26.0,"Watch6,15",,2025-09-27 05:00:52 +0000,2025-09-27 19:33:09 +0000,count/min,113.0
HKQuantityTypeIdentifierWalkingHeartRateAverage,Teja’s Apple Watch,26.0,"Watch6,15",,2025-09-28 05:06:26 +0000,2025-09-28 22:57:24 +0000,count/min,84.5
HKQuantityTypeIdentifierWalkingHeartRateAverage,Teja’s Apple Watch,26.0,"Watch6,15",,2025-09-29 05:02:51 +0000,2025-09-30 02:38:01 +0000,count/min,76.0
HKQuantityTypeIdentifierWalkingHeartRateAverage,Teja’s Apple Watch,26.0,"Watch6,15",,2025-09-30 05:05:25 +0000,2025-10-01 01:55:08 +0000,count/min,85.99999999999999
