sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,unit,value
HKQuantityTypeIdentifierWalkingSpeed,Teja’s iPhone,18.6.2,"iPhone15,3","<<HKDevice: 0x1120f19e0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone15,3, software:18.6.2, creation date:2025-08-23 06:19:24 +0000>",2025-09-09 10:57:56 +0000,2025-09-09 10:58:02 +0000,mi/hr,2.2369362920544025
HKQuantityTypeIdentifierWalkingSpeed,Teja’s iPhone,18.6.2,"iPhone15,3","<<HKDevice: 0x1120f19e0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone15,3, software:18.6.2, creation date:2025-08-23 06:19:24 +0000>",2025-09-09 13:31:25 +0000,2025-09-09 13:31:28 +0000,mi/hr,1.3421617752326414
HKQuantityTypeIdentifierWalkingSpeed,Teja’s iPhone,18.6.2,"iPhone15,3","<<HKDevice: 0x1120f19e0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone15,3, software:18.6.2, creation date:2025-08-23 06:19:24 +0000>",2025-09-09 14:57:56 +0000,2025-09-09 14:57:58 +0000,mi/hr,1.7224409448818898
HKQuantityTypeIdentifierWalkingSpeed,Teja’s iPhone,18.6.2,"iPhone15,3","<<HKDevice: 0x1120f19e0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone15,3, software:18.6.2, creation date:2025-08-23 06:19:24 +0000>",2025-09-09 15:38:18 +0000,2025-09-09 15:38:26 +0000,mi/hr,2.840909090909091
HKQuantityTypeIdentifierWalkingSpeed,Teja’s iPhone,18.6.2,"iPhone15,3","<<HKDevice: 0x1120f19e0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone15,3, software:18.6.2, creation date:2025-08-23 06:19:24 +0000>",2025-09-09 20:56:02 +0000,2025-09-09 20:56:07 +0000,mi/hr,2.05798138869005
HKQuantityTypeIdentifierWalkingSpeed,Teja’s iPhone,18.6.2,"iPhone15,3","<<HKDevice: 0x1120f19e0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone15,3, software:18.6.2, creation date:2025-08-23 06:19:24 +0000>",2025-09-09 22:09:32 +0000,2025-09-09 22:10:10 +0000,mi/hr,2.796170365068003
HKQuantityTypeIdentifierWalkingSpeed,Teja’s iPhone,18.6.2,"iPhone15,3","<<HKDevice: 0x1120f19e0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone15,3, software:18.6.2, creation date:2025-08-23 06:19:24 +0000>",2025-09-09 22:10:31 +0000,2025-09-09 22:11:57 +0000,mi/hr,2.259305654974946
HKQuantityTypeIdentifierWalkingSpeed,Teja’s iPhone,18.6.2,"iPhone15,3","<<HKDevice: 0x1120f19e0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone15,3, software:18.6.2, creation date:2025-08-23 06:19:24 +0000>",2025-09-09 22:14:13 +0000,2025-09-09 22:14:15 +0000,mi/hr,1.968503937007874
HKQuantityTypeIdentifierWalkingSpeed,Teja’s iPhone,18.6.2,"iPhone15,3","<<HKDevice: 0x1120f19e0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone15,3, software:18.6.2, creation date:2025-08-23 06:19:24 +0000>",2025-09-09 22:21:19 +0000,2025-09-09 22:22:07 +0000,mi/hr,1.744810307802434
HKQuantityTypeIdentifierWalkingSpeed,Teja’s iPhone,18.6.2,"iPhone15,3","<<HKDevice: 0x1120f19e0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone15,3, software:18.6.2, creation date:2025-08-23 06:19:24 +0000>",2025-09-09 22:27:50 +0000,2025-09-09 22:28:05 +0000,mi/hr,2.035612025769506
